PDE Time used, degree, level 1, level 2, level 3, level 4, level 5, level 6, level 7, level 8
, 2, 0.10666666666666665, 0.09000000000000001, 0.08666666666666667, 0.09666666666666668, 0.11333333333333333, 0.2333333333333333, 0.7533333333333333, 2.9566666666666666
, 3, 0.09000000000000001, 0.09000000000000001, 0.09333333333333334, 0.10333333333333335, 0.14, 0.32, 0.9066666666666666, 5.406666666666666
, 4, 0.09333333333333334, 0.09000000000000001, 0.09666666666666668, 0.10666666666666667, 0.18000000000000002, 0.4000000000000001, 1.2533333333333332, 9.76
, 5, 0.09666666666666668, 0.09000000000000001, 0.10333333333333335, 0.12333333333333334, 0.18666666666666668, 0.43333333333333335, 1.7733333333333334, 13.086666666666668
, 6, 0.10666666666666667, 0.10000000000000002, 0.11, 0.1366666666666667, 0.2233333333333333, 0.56, 2.7566666666666664, 17.616666666666667
